index,in Watt,,,
model,TDP,n_cores,TDP_per_core,source
Core T2050,31,2,15.5,http://cpudb.stanford.edu
Core T2350,31,2,15.5,http://cpudb.stanford.edu
Core T2250,31,2,15.5,http://cpudb.stanford.edu
Core T2300,31,2,15.5,http://cpudb.stanford.edu
Core U1400,6,1,6,http://cpudb.stanford.edu
Core T1300,27,1,27,http://cpudb.stanford.edu
Core T2450,31,2,15.5,http://cpudb.stanford.edu
Core L2500,15,2,7.5,http://cpudb.stanford.edu
Core T2600,31,2,15.5,http://cpudb.stanford.edu
Core2 QX6800,130,4,32.5,http://cpudb.stanford.edu
Core2 X6800,75,2,37.5,http://cpudb.stanford.edu
Core2 Q8300,95,4,23.75,http://cpudb.stanford.edu
Core2 SP9600,25,2,12.5,http://cpudb.stanford.edu
Core2 Q8400,95,4,23.75,http://cpudb.stanford.edu
Core2 P7350,25,2,12.5,http://cpudb.stanford.edu
Core2 T6670,35,2,17.5,http://cpudb.stanford.edu
Core2 QX6700,130,4,32.5,http://cpudb.stanford.edu
Core2 P7550,25,2,12.5,http://cpudb.stanford.edu
Core2 T5270,35,2,17.5,http://cpudb.stanford.edu
Core2 T5750,35,2,17.5,http://cpudb.stanford.edu
Core2 T5300,34,2,17,http://cpudb.stanford.edu
Core2 P7570,25,2,12.5,http://cpudb.stanford.edu
Core2 SU7300,10,2,5,http://cpudb.stanford.edu
Core2 E4500,65,2,32.5,http://cpudb.stanford.edu
Core2 T5200,34,2,17,http://cpudb.stanford.edu
Core2 E7600,65,2,32.5,http://cpudb.stanford.edu
Core2 SL3400,17,1,17,http://cpudb.stanford.edu
Core2 Q8200,95,4,23.75,http://cpudb.stanford.edu
Core2 T5500,34,2,17,http://cpudb.stanford.edu
Core2 T5600,34,2,17,http://cpudb.stanford.edu
Core2 Q9100,45,4,11.25,http://cpudb.stanford.edu
Core2 P7370,25,2,12.5,http://cpudb.stanford.edu
Core2 Q8400S,65,4,16.25,http://cpudb.stanford.edu
Core2 SU3500,5.5,1,5.5,http://cpudb.stanford.edu
Core2 E4700,65,2,32.5,http://cpudb.stanford.edu
Core2 E7200,65,2,32.5,http://cpudb.stanford.edu
Core2 X7800,44,2,22,http://cpudb.stanford.edu
Core2 Q9000,45,4,11.25,http://cpudb.stanford.edu
Core2 T5450,35,2,17.5,http://cpudb.stanford.edu
Core2 Q8200S,65,4,16.25,http://cpudb.stanford.edu
Core2 E4600,65,2,32.5,http://cpudb.stanford.edu
Core2 SP9400,25,2,12.5,http://cpudb.stanford.edu
Core2 P7450,25,2,12.5,http://cpudb.stanford.edu
Core2 E4400,65,2,32.5,http://cpudb.stanford.edu
Core2 E7500,65,2,32.5,http://cpudb.stanford.edu
Core2 T5550,35,2,17.5,http://cpudb.stanford.edu
Core2 T6570,35,2,17.5,http://cpudb.stanford.edu
Core2 T5250,35,2,17.5,http://cpudb.stanford.edu
Core2 E7300,65,2,32.5,http://cpudb.stanford.edu
Core2 QX6850,130,4,32.5,http://cpudb.stanford.edu
Core2 T5470,35,2,17.5,http://cpudb.stanford.edu
Xeon Phi Coprocessors 7120A,300,61,4.92,http://cpudb.stanford.edu
Xeon Phi Coprocessors 5120D,245,60,4.08,http://cpudb.stanford.edu
Xeon Phi Coprocessors 7120X,300,61,4.92,http://cpudb.stanford.edu
Xeon Phi Coprocessors 7120D,270,61,4.43,http://cpudb.stanford.edu
Xeon Phi Coprocessors 5110P,225,60,3.75,http://cpudb.stanford.edu
Xeon Phi Coprocessors 3120P,300,57,5.26,http://cpudb.stanford.edu
Xeon Phi Coprocessors 7120P,300,61,4.92,http://cpudb.stanford.edu
Xeon Phi Coprocessors 3120A,300,57,5.26,http://cpudb.stanford.edu
1403 v2,80,2,40,http://cpudb.stanford.edu
E5-2685 v3,120,12,10,http://cpudb.stanford.edu
E5-1680 v2,130,8,16.25,http://cpudb.stanford.edu
31S1P,300,57,5.26,http://cpudb.stanford.edu
E5-2673 v2,110,8,13.75,http://cpudb.stanford.edu
E5-1603 v3,140,4,35,http://cpudb.stanford.edu
E5-1607 v3,140,4,35,http://cpudb.stanford.edu
E3-1284L v3,47,4,11.75,http://cpudb.stanford.edu
E5-1607 v2,130,4,32.5,http://cpudb.stanford.edu
E5-1410 v2,80,4,20,http://cpudb.stanford.edu
E7-8895 v2,155,15,10.33,http://cpudb.stanford.edu
Core M 5Y70,4.5,2,2.25,http://cpudb.stanford.edu
Core M 5Y51,4.5,2,2.25,http://cpudb.stanford.edu
Core M 5Y10,4.5,2,2.25,http://cpudb.stanford.edu
Core M 5Y10a,4.5,2,2.25,http://cpudb.stanford.edu
Core M 5Y31,4.5,2,2.25,http://cpudb.stanford.edu
Core M 5Y71,4.5,2,2.25,http://cpudb.stanford.edu
Core M 5Y10c,4.5,2,2.25,http://cpudb.stanford.edu
Core 2 Quad Extreme QX6700,130,4,32.5,http://cpudb.stanford.edu
Core 2 Quad Extreme QX9770,136,4,34,http://cpudb.stanford.edu
Core 2 Quad Extreme QX9650,130,4,32.5,http://cpudb.stanford.edu
Core 2 Quad Extreme QX6800,130,4,32.5,http://cpudb.stanford.edu
Core T2300E,31,2,15.5,http://cpudb.stanford.edu
PowerPC 7450,23,1,23,http://cpudb.stanford.edu
PowerPC 7400,6,1,6,http://cpudb.stanford.edu
R4400 R4400SC,15,1,15,http://cpudb.stanford.edu
R4600 R4600PC,3,1,3,http://cpudb.stanford.edu
R8000 R8000,13,1,13,http://cpudb.stanford.edu
R8000 R8010,13,1,13,http://cpudb.stanford.edu
WinChip 240,13.1,1,13.1,http://cpudb.stanford.edu
WinChip 180,9.4,1,9.4,http://cpudb.stanford.edu
WinChip 200,10.4,1,10.4,http://cpudb.stanford.edu
WinChip 225,12.3,1,12.3,http://cpudb.stanford.edu
