product_id,name,time,source,intended_usage,tdp (W),cores,threads
232108,Intel® Core™ i5-13500TE Processor,2025-03-20 15:49:25,https://www.intel.com/content/www/us/en/products/sku/232108/intel-core-i513500te-processor-24m-cache-up-to-4-50-ghz/specifications.html,local,35,14,20
232107,Intel® Core™ i5-13505H Processor,2025-03-20 15:49:26,https://www.intel.com/content/www/us/en/products/sku/232107/intel-core-i513505h-processor-18m-cache-up-to-4-70-ghz/specifications.html,local,45,12,16
232103,Intel® Core™ i5-1350P Processor,2025-03-20 15:49:26,https://www.intel.com/content/www/us/en/products/sku/232103/intel-core-i51350p-processor-12m-cache-up-to-4-70-ghz/specifications.html,local,28,12,16
232133,Intel® Core™ i5-1350PE Processor,2025-03-20 15:49:27,https://www.intel.com/content/www/us/en/products/sku/232133/intel-core-i51350pe-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,28,12,16
230574,Intel® Core™ i5-13600 Processor,2025-03-20 15:49:28,https://www.intel.com/content/www/us/en/products/sku/230574/intel-core-i513600-processor-24m-cache-up-to-5-00-ghz/specifications.html,local,65,14,20
232145,Intel® Core™ i5-13600H Processor,2025-03-20 15:49:28,https://www.intel.com/content/www/us/en/products/sku/232145/intel-core-i513600h-processor-18m-cache-up-to-4-80-ghz/specifications.html,local,45,12,16
232152,Intel® Core™ i5-13600HE Processor,2025-03-20 15:49:29,https://www.intel.com/content/www/us/en/products/sku/232152/intel-core-i513600he-processor-18m-cache-up-to-4-80-ghz/specifications.html,local,45,12,16
232154,Intel® Core™ i5-13600HX Processor,2025-03-20 15:49:29,https://www.intel.com/content/www/us/en/products/sku/232154/intel-core-i513600hx-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,55,14,20
230573,Intel® Core™ i5-13600T Processor,2025-03-20 15:49:30,https://www.intel.com/content/www/us/en/products/sku/230573/intel-core-i513600t-processor-24m-cache-up-to-4-80-ghz/specifications.html,local,35,14,20
235077,Intel® Core™ i5-1350PRE Processor,2025-03-20 15:49:30,https://www.intel.com/content/www/us/en/products/sku/235077/intel-core-i51350pre-processor-12m-cache-up-to-4-60-ghz/specifications.html,local,28,12,16
235071,Intel® Core™ i5-13600HRE Processor,2025-03-20 15:49:30,https://www.intel.com/content/www/us/en/products/sku/235071/intel-core-i513600hre-processor-18m-cache-up-to-4-80-ghz/specifications.html,local,45,12,16
230493,Intel® Core™ i5-13600K Processor,2025-03-20 15:49:31,https://www.intel.com/content/www/us/en/products/sku/230493/intel-core-i513600k-processor-24m-cache-up-to-5-10-ghz/specifications.html,local,125,14,20
230494,Intel® Core™ i5-13600KF Processor,2025-03-20 15:49:31,https://www.intel.com/content/www/us/en/products/sku/230494/intel-core-i513600kf-processor-24m-cache-up-to-5-10-ghz/specifications.html,local,125,14,20
232909,Intel® Core™ i3-1305U Processor,2025-03-20 15:49:32,https://www.intel.com/content/www/us/en/products/sku/232909/intel-core-i31305u-processor-10m-cache-up-to-4-50-ghz/specifications.html,local,15,5,6
