name,launch date,source,intended usage,tdp (W),cores,threads
amd ryzen 5 pro 2400ge,2018-05-10,https://en.wikichip.org/wiki/amd/ryzen_5/pro_2400ge,Desktop,35.0,4,8.0
amd ryzen 5 pro 2500u,2018-01-08,https://en.wikichip.org/wiki/amd/ryzen_5/pro_2500u,Mobile,15.0,4,8.0
amd ryzen 5 pro 2600,2018-09-06,https://en.wikichip.org/wiki/amd/ryzen_5/pro_2600,Desktop,65.0,6,12.0
amd ryzen 5 pro 3400g,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_5/pro_3400g,Desktop,65.0,4,8.0
amd ryzen 5 pro 3400ge,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_5/pro_3400ge,Desktop,35.0,4,8.0
amd ryzen 5 pro 3500u,2019-04-08,https://en.wikichip.org/wiki/amd/ryzen_5/pro_3500u,Mobile,15.0,4,8.0
amd ryzen 5 pro 3600,2019-09-30,https://en.wikichip.org/wiki/amd/ryzen_5/pro_3600,Desktop,65.0,6,12.0
amd ryzen 5 pro 4650g,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_5/pro_4650g,Desktop,65.0,6,12.0
amd ryzen 5 pro 4650ge,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_5/pro_4650ge,Desktop,35.0,6,12.0
amd ryzen 5 pro 4650u,2020-05-07,https://en.wikichip.org/wiki/amd/ryzen_5/pro_4650u,Mobile,15.0,6,12.0
amd ryzen 5 pro 5650ge,2021-06-01,https://en.wikichip.org/wiki/amd/ryzen_5/pro_5650ge,Desktop,35.0,6,12.0
amd ryzen 5 pro 5650u,2021-03-16,https://en.wikichip.org/wiki/amd/ryzen_5/pro_5650u,Mobile,15.0,6,12.0
amd ryzen 7 1700,2017-03-02,https://en.wikichip.org/wiki/amd/ryzen_7/1700,Desktop,65.0,8,16.0
amd ryzen 7 1700x,2017-03-02,https://en.wikichip.org/wiki/amd/ryzen_7/1700x,Desktop,95.0,8,16.0
amd ryzen 7 1800x,2017-03-02,https://en.wikichip.org/wiki/amd/ryzen_7/1800x,Desktop,95.0,8,16.0
amd ryzen 7 2700,2018-04-19,https://en.wikichip.org/wiki/amd/ryzen_7/2700,Desktop,65.0,8,16.0
amd ryzen 7 2700e,2018-09-10,https://en.wikichip.org/wiki/amd/ryzen_7/2700e,Desktop,45.0,8,16.0
amd ryzen 7 2700u,2017-10-26,https://en.wikichip.org/wiki/amd/ryzen_7/2700u,Mobile,15.0,4,8.0
amd ryzen 7 2700x gold edition,2019-04-29,https://en.wikichip.org/wiki/amd/ryzen_7/2700x_gold_edition,Desktop,105.0,8,16.0
amd ryzen 7 2700x,2018-04-19,https://en.wikichip.org/wiki/amd/ryzen_7/2700x,Desktop,105.0,8,16.0
amd ryzen 7 2800h,2018-09-10,https://en.wikichip.org/wiki/amd/ryzen_7/2800h,Mobile,45.0,4,8.0
amd ryzen 7 3700u,2019-01-06,https://en.wikichip.org/wiki/amd/ryzen_7/3700u,Mobile,15.0,4,8.0
amd ryzen 7 3700x,2019-07-07,https://en.wikichip.org/wiki/amd/ryzen_7/3700x,Desktop,65.0,8,16.0
amd ryzen 7 3750h,2019-01-06,https://en.wikichip.org/wiki/amd/ryzen_7/3750h,Mobile,35.0,4,8.0
amd ryzen 7 3780u,2019-10-01,https://en.wikichip.org/wiki/amd/ryzen_7/3780u,Mobile,15.0,4,8.0
amd ryzen 7 3800x,2019-07-07,https://en.wikichip.org/wiki/amd/ryzen_7/3800x,Desktop,105.0,8,16.0
amd ryzen 7 3800xt,2020-07-07,https://en.wikichip.org/wiki/amd/ryzen_7/3800xt,Desktop,105.0,8,16.0
amd ryzen 7 4700g,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_7/4700g,Desktop,65.0,8,16.0
amd ryzen 7 4700ge,2020-07-21,https://en.wikichip.org/wiki/amd/ryzen_7/4700ge,Desktop,35.0,8,16.0
amd ryzen 7 4700u,2020-01-06,https://en.wikichip.org/wiki/amd/ryzen_7/4700u,Mobile,15.0,8,8.0
amd ryzen 7 4800h,2020-01-06,https://en.wikichip.org/wiki/amd/ryzen_7/4800h,Mobile,45.0,8,16.0
amd ryzen 7 4800hs,2020-03-16,https://en.wikichip.org/wiki/amd/ryzen_7/4800hs,Mobile,35.0,8,16.0
amd ryzen 7 4800u,2020-01-06,https://en.wikichip.org/wiki/amd/ryzen_7/4800u,Mobile,15.0,8,16.0
amd ryzen 7 4980u,2021-04-13,https://en.wikichip.org/wiki/amd/ryzen_7/4980u,Mobile,15.0,8,16.0
