product_id,name,time,source,intended_usage,cores,threads,tdp (W)
237249,Intel® Xeon® Gold 6530 Processor,2025-06-12 13:45:13,https://www.intel.com/content/www/us/en/products/sku/237249/intel-xeon-gold-6530-processor-160m-cache-2-10-ghz/specifications.html,compute cluster,32,64,270.0
237555,Intel® Xeon® Gold 6534 Processor,2025-06-12 13:45:13,https://www.intel.com/content/www/us/en/products/sku/237555/intel-xeon-gold-6534-processor-22-5m-cache-3-90-ghz/specifications.html,compute cluster,8,16,195.0
237568,Intel® Xeon® Gold 6538N Processor,2025-06-12 13:45:14,https://www.intel.com/content/www/us/en/products/sku/237568/intel-xeon-gold-6538n-processor-60m-cache-2-10-ghz/specifications.html,compute cluster,32,64,205.0
237563,Intel® Xeon® Gold 6538Y+ Processor,2025-06-12 13:45:14,https://www.intel.com/content/www/us/en/products/sku/237563/intel-xeon-gold-6538y-processor-60m-cache-2-20-ghz/specifications.html,compute cluster,32,64,225.0
237559,Intel® Xeon® Gold 6542Y Processor,2025-06-12 13:45:14,https://www.intel.com/content/www/us/en/products/sku/237559/intel-xeon-gold-6542y-processor-60m-cache-2-90-ghz/specifications.html,compute cluster,24,48,250.0
237569,Intel® Xeon® Gold 6544Y Processor,2025-06-12 13:45:14,https://www.intel.com/content/www/us/en/products/sku/237569/intel-xeon-gold-6544y-processor-45m-cache-3-60-ghz/specifications.html,compute cluster,16,32,270.0
237567,Intel® Xeon® Gold 6548N Processor,2025-06-12 13:45:14,https://www.intel.com/content/www/us/en/products/sku/237567/intel-xeon-gold-6548n-processor-60m-cache-2-80-ghz/specifications.html,compute cluster,32,64,250.0
237564,Intel® Xeon® Gold 6548Y+ Processor,2025-06-12 13:45:15,https://www.intel.com/content/www/us/en/products/sku/237564/intel-xeon-gold-6548y-processor-60m-cache-2-50-ghz/specifications.html,compute cluster,32,64,250.0
237263,Intel® Xeon® Gold 6554S Processor,2025-06-12 13:45:15,https://www.intel.com/content/www/us/en/products/sku/237263/intel-xeon-gold-6554s-processor-180m-cache-2-20-ghz/specifications.html,compute cluster,36,72,270.0
237566,Intel® Xeon® Gold 6558Q Processor,2025-06-12 13:45:15,https://www.intel.com/content/www/us/en/products/sku/237566/intel-xeon-gold-6558q-processor-60m-cache-3-20-ghz/specifications.html,compute cluster,32,64,350.0
237255,Intel® Xeon® Platinum 8558 Processor,2025-06-12 13:45:15,https://www.intel.com/content/www/us/en/products/sku/237255/intel-xeon-platinum-8558-processor-260m-cache-2-10-ghz/specifications.html,compute cluster,48,96,330.0
237259,Intel® Xeon® Platinum 8558P Processor,2025-06-12 13:45:15,https://www.intel.com/content/www/us/en/products/sku/237259/intel-xeon-platinum-8558p-processor-260m-cache-2-70-ghz/specifications.html,compute cluster,48,96,350.0
